City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Sabang,ID,83.07,overcast clouds,5.8933,95.3214,Hotel Citra
241,Jawhar,SO,73.33,overcast clouds,2.7809,45.5005,hantiwadaag village part one
243,Lagoa,PT,72.86,clear sky,39.05,-27.9833,Casa Das Faias
244,Shieli,KZ,79.84,scattered clouds,44.1667,66.75,Gostinitsa Aybek Shieli
246,Nyaunglebin,MM,75.49,overcast clouds,17.95,96.7333,Royal Motel
247,Zhuhai,CN,83.97,light intensity shower rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
248,Penarroya-Pueblonuevo,ES,78.46,clear sky,38.3,-5.2667,Casa Rural Los Miraderos De Cristina
249,Komsomolskiy,UZ,76.42,scattered clouds,40.4272,71.7189,Ikathouse
250,Pandan,PH,86.52,scattered clouds,14.0453,124.1694,Bonifacio Lodge
251,Saint Anthony,US,84.83,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
254,Ambilobe,MG,70.77,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
258,Grand Island,US,89.55,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
264,Camacha,PT,73.53,drizzle,33.0833,-16.3333,Hotel Porto Santo & Spa
265,Roma,US,78.82,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
266,Cabo San Lucas,MX,88.52,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
267,Benguela,AO,70.11,few clouds,-12.5763,13.4055,Hotel Praia Morena
269,Faanui,PF,79.16,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
271,Itoman,JP,82.78,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
276,Maceio,BR,72.84,few clouds,-9.6658,-35.7353,Poutur Pousada
278,Eyl,SO,76.93,scattered clouds,7.9803,49.8164,Amiin Hotel
279,Mashhad,IR,77.14,clear sky,36.297,59.6062,Khanye Sabz Hotel
283,Japura,ID,74.91,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
284,Slave Lake,CA,85.98,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
290,Dongzhen,CN,78.51,light rain,22.3797,110.9389,茂名中汇时尚酒店
292,Lamu,KE,75.42,broken clouds,-2.2717,40.902,Lamu House
294,Lorengau,PG,83.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
298,Acarau,BR,79.03,scattered clouds,-2.8856,-40.12,castelo pizzaria
299,Alanya,TR,87.49,clear sky,36.5438,31.9998,Panorama Hotel
301,Ozark,US,77.41,overcast clouds,37.0209,-93.206,Americas Best Value Inn Ozark Springfield
304,Katsuura,JP,86.18,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
306,Virginia Beach,US,79.11,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
307,Bosaso,SO,88.23,light rain,11.2842,49.1816,Red Sea Hotel
312,Duyun,CN,76.77,broken clouds,26.2667,107.5167,Na Li Guesthouse
313,Alamosa,US,82.38,clear sky,37.4695,-105.87,Best Western Alamosa Inn
315,Whitehorse,CA,70.02,shower rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
316,Progreso,MX,87.12,clear sky,21.2833,-89.6667,Playa Linda Hotel
317,Shimoda,JP,82.76,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
320,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
321,Kashi,CN,75.25,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
324,Khuzdar,PK,79.72,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
327,Ca Mau,VN,80.28,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
328,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
331,Alta Floresta,BR,78.28,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
334,Marrakesh,MA,80.67,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
335,Porangatu,BR,75.94,broken clouds,-13.4408,-49.1486,Wembley Park Hotel
347,Pokhara,NP,74.68,overcast clouds,28.2333,83.9833,Butterfly Lodge
348,Nanticoke,US,79.25,clear sky,41.2054,-76.0049,Keisha's
350,Belize,BZ,85.23,broken clouds,17.25,-88.75,Villa San Juan
352,Omboue,GA,74.64,few clouds,-1.5746,9.2618,Hotel Olako
355,Dharchula,IN,72.59,overcast clouds,29.85,80.5333,Mahara Hotel
356,Pemba,MZ,75.9,broken clouds,-12.974,40.5178,Guesthouse Samotina
357,Champasak,LA,74.14,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
358,Jacareacanga,BR,78.93,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
360,Carmen,MX,86.04,broken clouds,18.6333,-91.8333,Hotel Lossandes
361,Sampit,ID,76.73,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
365,Mogadishu,SO,76.1,overcast clouds,2.0371,45.3438,Hotel Juba
367,Bandarbeyla,SO,76.62,overcast clouds,9.4942,50.8122,JABIR HOTEL
372,Hobyo,SO,75.81,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
373,Maneadero,MX,79.2,few clouds,31.7167,-116.5667,Casa De Thompson
375,Russell,US,85.28,few clouds,32.3502,-85.1999,Macs
376,Springfield,US,77.02,scattered clouds,37.2153,-93.2982,University Plaza Hotel & Convention Center
379,Bonthe,SL,76.82,light rain,7.5264,-12.505,Bonthe Holiday Village
381,La Ronge,CA,73.65,smoke,55.1001,-105.2842,Northland Motor Hotel
382,Pemangkat,ID,77.88,overcast clouds,1.1667,108.9667,Ramah Kost KITA
383,Haapiti,PF,83.93,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
385,Ponta Delgada,PT,72.32,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
386,Samarai,PG,78.89,overcast clouds,-10.6167,150.6667,Nuli Sapi
389,Tual,ID,80.76,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
393,Ixtapa,MX,77.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
