City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Nizwa,OM,2021-08-04 00:19:04,22.9333,57.5333,88.77,41,1,1.23
122,Rosarito,MX,2021-08-04 00:19:04,32.3333,-117.0333,96.93,55,10,13.42
123,Ust-Nera,RU,2021-08-04 00:19:05,64.5667,143.2,60.42,36,0,6.93
124,Poum,NC,2021-08-04 00:19:05,-20.2333,164.0167,73.2,63,10,13.51
125,Nchelenge,ZM,2021-08-04 00:19:06,-9.3451,28.734,64.31,51,0,8.1
126,Sorong,ID,2021-08-04 00:19:06,-0.8833,131.25,81.5,80,56,1.99
127,Kaka,TM,2021-08-04 00:19:06,37.3482,59.6143,84.83,16,3,7.72
128,Sitka,US,2021-08-04 00:19:07,57.0531,-135.33,64.29,77,75,9.22
129,Tignere,CM,2021-08-04 00:19:07,7.3667,12.65,64.74,95,100,1.86
130,Nawalgarh,IN,2021-08-04 00:19:08,27.85,75.2667,79.93,80,51,0.34
131,Sharya,RU,2021-08-04 00:19:08,58.3686,45.5144,61.9,87,82,3.91
132,Souillac,MU,2021-08-04 00:19:09,-20.5167,57.5167,70.18,73,20,8.05
133,Tijara,IN,2021-08-04 00:19:09,27.9333,76.85,84.45,85,99,8.43
134,Krasnovishersk,RU,2021-08-04 00:19:09,60.4078,57.082,60.17,97,38,5.39
135,Egvekinot,RU,2021-08-04 00:19:10,66.3167,-179.1667,45.19,100,100,4.79
136,Cherskiy,RU,2021-08-04 00:19:10,68.75,161.3,44.38,76,78,11.99
137,Riyadh,SA,2021-08-04 00:14:59,24.6877,46.7219,87.94,11,83,4.03
138,Quatre Cocos,MU,2021-08-04 00:19:11,-20.2078,57.7625,69.91,68,2,11.21
139,Mbandaka,CD,2021-08-04 00:19:11,0.0487,18.2603,74.52,56,98,3.87
140,Itaituba,BR,2021-08-04 00:19:11,-4.2761,-55.9836,81.41,54,100,2.75
141,Hare Bay,CA,2021-08-04 00:15:06,48.8499,-54.0148,62.98,68,51,5.28
142,Urengoy,RU,2021-08-04 00:19:12,65.9667,78.3667,59.07,88,100,6.93
143,High Rock,BS,2021-08-04 00:19:12,26.6208,-78.2833,80.62,69,100,13.78
144,Jinchang,CN,2021-08-04 00:19:12,38.4953,102.1739,73.29,30,99,6.44
145,Kupang,ID,2021-08-04 00:19:13,-10.1667,123.5833,82.98,61,20,9.22
146,Buala,SB,2021-08-04 00:19:13,-8.145,159.5921,81.66,79,66,9.1
147,Torbay,CA,2021-08-04 00:19:14,47.6666,-52.7314,64.38,79,20,20.71
148,Nyagan,RU,2021-08-04 00:19:14,62.1406,65.3936,59.18,79,16,3.27
149,Muyezerskiy,RU,2021-08-04 00:19:15,63.9333,31.65,47.39,93,100,15.46
150,Ise,JP,2021-08-04 00:19:15,34.4833,136.7,85.62,83,75,2.3
151,Hasaki,JP,2021-08-04 00:19:15,35.7333,140.8333,86.29,77,3,8.1
