City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Ketchikan,US,55.3422,-131.6461,57.67,94,90,12.66,light rain
121,Huilong,CN,31.8111,121.655,85.03,81,17,10.33,few clouds
122,Laguna,US,38.421,-121.4238,98.24,36,1,5.01,clear sky
123,Waipawa,NZ,-41.4122,175.5153,50.45,72,100,0.2,overcast clouds
124,Klaksvik,FO,62.2266,-6.589,54.52,93,100,6.55,overcast clouds
125,Leningradskiy,RU,69.3833,178.4167,41.68,90,94,6.96,overcast clouds
126,Soyo,AO,-6.1349,12.3689,72.97,84,21,8.9,few clouds
127,Fortuna,US,40.5982,-124.1573,80.19,69,75,3.0,broken clouds
128,Tecolutla,MX,20.4833,-97.0167,89.46,69,53,10.38,broken clouds
129,Provideniya,RU,64.3833,-173.3,55.51,58,0,6.71,clear sky
130,Bengkulu,ID,-3.8004,102.2655,74.88,89,87,3.44,overcast clouds
131,Aykhal,RU,66.0,111.5,59.92,46,0,13.15,clear sky
132,Mehamn,NO,71.0357,27.8492,51.98,88,90,2.57,overcast clouds
133,Port Hedland,AU,-20.3167,118.5667,64.45,27,9,16.11,clear sky
134,Salalah,OM,17.0151,54.0924,77.09,100,90,8.05,drizzle
135,Curup,ID,-3.4667,102.5333,67.91,94,91,1.21,overcast clouds
136,Claremore,US,36.3126,-95.6161,83.37,77,90,1.99,overcast clouds
137,Kavieng,PG,-2.5744,150.7967,83.28,70,99,3.36,light rain
138,Grand Gaube,MU,-20.0064,57.6608,68.4,72,78,4.0,broken clouds
139,Jiwani,PK,25.05,61.7417,81.1,86,35,5.84,scattered clouds
140,Boende,CD,-0.2167,20.8667,73.13,80,21,3.31,few clouds
141,Mar Del Plata,AR,-38.0023,-57.5575,57.09,28,90,1.01,overcast clouds
142,Kula,TR,38.5473,28.6498,74.61,30,0,3.78,clear sky
143,Pisco,PE,-13.7,-76.2167,62.65,82,0,19.57,clear sky
144,Obihiro,JP,42.9172,143.2044,80.01,71,84,2.3,broken clouds
145,Paita,PE,-5.0892,-81.1144,66.81,82,0,15.68,clear sky
146,Panaba,MX,21.2833,-88.2667,85.98,61,53,16.17,broken clouds
147,Kungurtug,RU,50.5994,97.5228,55.36,91,82,0.4,broken clouds
148,Kodiak,US,57.79,-152.4072,60.31,77,90,6.91,light rain
149,Avarua,CK,-21.2078,-159.775,77.05,57,75,5.75,broken clouds
150,Grindavik,IS,63.8424,-22.4338,55.35,93,20,5.75,few clouds
151,Mishan,CN,45.55,131.8833,81.97,48,100,7.36,overcast clouds
152,Tasiilaq,GL,65.6145,-37.6368,39.2,74,17,3.0,few clouds
153,Nurota,UZ,40.5614,65.6886,78.89,20,0,8.3,clear sky
154,Port Lincoln,AU,-34.7333,135.8667,55.36,76,100,7.43,overcast clouds
155,Birjand,IR,32.8663,59.2211,68.47,22,0,0.0,clear sky
156,Vestmanna,FO,62.1564,-7.1664,52.72,94,75,1.14,broken clouds
